Province,Lat,Lon,EQ_New,EQ_Old,WS_New,WS_Old
Anhui,31.82578411,117.2261866,1731908403,1575245494,2.74E+09,2.40E+09
Beijing,40.18514969,116.4099317,2.28E+09,1.19E+09,3.74E+09,3.07E+09
Chongqing,30.05861508,107.8747749,462634681.8,871869993.1,1.54E+09,9.91E+08
Fujian,26.08007987,117.983252,2.44E+09,2.99E+09,5.61E+09,5.94E+09
Gansu,38.248,102.219,149817507.9,492000,656186470.2,99974647.73
Guangdong,23.34388339,113.421521,3.84E+09,3.54E+09,7.39E+09,6.33E+09
Guangxi,23.82985163,108.7858763,955064407.8,702733476.7,1642313718,1410545225
Guizhou,26.81512028,106.8739303,159557593,87379859.88,904157481.3,211049164.2
Hainan,19.19352054,109.742366,1244142930,441402935.7,2328007823,949642582.3
Hebei,39.54670296,116.125801,1.91E+09,1.64E+09,2.55E+09,2.11E+09
Heilongjiang,47.85372283,127.7524572,354751049.5,67994648.44,887103996.8,225701771.9
Henan,33.88271004,113.6140839,1632726261,1337916263,2.88E+09,2.52E+09
Hubei,30.97608712,112.2688582,2.40E+09,2.05E+09,3.33E+09,3.07E+09
Hunan,27.60709244,111.7079868,1113507878,737791920.2,2.18E+09,1.80E+09
Jiangsu,32.97522672,119.4439996,3.45E+10,3.17E+10,1.36E+11,1.32E+11
Jiangxi,27.61370046,115.7206117,853740571.4,74845361.42,1502884902,228926489.6
Jilin,43.66589535,126.1920446,390142682.7,241918328.2,832182294.6,457181267.6
Liaoning,41.29707532,122.606112,7.25E+08,4.82E+08,4.10E+09,2.49E+09
Inner Mongolia,42.382,111.99,1938546263,1253701492,3.48E+09,2.93E+09
Ningxia,37.27097977,106.1647336,50293811.05,14371262.52,416266691.8,168964220.5
Qinghai,35.74918058,96.00395405,226013072.2,161127636.5,285981717.5,249811151
Shaanxi,35.19489839,108.8705783,2308346338,1277323415,7.25E+09,6.22E+09
Shandong,36.33426915,118.139323,2.40E+09,2.26E+09,5.05E+09,4.73E+09
Shanghai,31.18445185,121.419582,3.37E+09,4.16E+09,1.31E+10,1.34E+10
Shanxi,37.57588499,112.2919865,4508384398,293796201,7156529151,1.02E+09
Sichuan,30.6153072,102.7102566,2.54E+09,2.31E+09,6.34E+09,6.25E+09
Tianjin,39.31288097,117.3299825,1866247364,1521261694,2.74E+09,2.76E+09
Xinjiang,41.1171095,85.184144,800542535.3,214134108.7,2.20E+09,4.30E+08
Tibet,31.49267572,88.44003407,101322082.7,61017446.47,259726136.2,88750910.79
Yunnan,24.97570937,101.4876601,2862737009,2230989334,5.39E+09,5.02E+09
Zhejiang,29.17537914,120.0790145,3.95E+09,3.63E+09,7.33E+09,7.08E+09
Taiwan,,,0,0,0,0
Hongkong,,,0,0,0,0
Macau,,,0,0,0,0
